episode_id,scene,seed,snapshot_id,method,budget,roi_pixels,selected_tiles,enhanced_quality,background_quality,charged_bytes,tile_payload_bytes,critical_tile_payload_bytes,critical_tile_payload_fraction,critical_region_pixels,critical_boundary_edge_pixels,eligible_boundary_edge_pixels,critical_boundary_high_quality_coverage,eligible_boundary_high_quality_coverage,critical_region_mse,critical_region_psnr_db,eligible_boundary_mse,eligible_boundary_psnr_db,tcobr_eligible,tcobr_recalled,tcobr,reconstruction_sha256
m6a_v3_formal_s1_seed630102,S1,630102,3,state_only_risk_roi,severe,9,1,35,5,31376,30981,7749,0.2501210419289242,2520,3,0,0.0,,174.6003968253968,25.710351344486213,,,0,0,,458ae6ea9c3371ab981d03c4f32555d2eb41f24ce1ec85764574ac8f5d7d75ab
m6a_v3_formal_s1_seed630102,S1,630102,3,state_only_risk_roi,low,9,1,55,25,32123,31728,7940,0.25025214321734746,2520,3,0,0.0,,25.03095238095238,34.14602986852033,,,0,0,,bcf1cce4c4439f19f1ecfb7fe2d0b92b1a207bddb5eb24e36c1ff53ae75dddcb
m6a_v3_formal_s1_seed630102,S1,630102,3,state_only_risk_roi,medium,9,1,75,45,32745,32350,8093,0.2501700154559505,2520,3,0,0.0,,15.475,36.23449703175755,,,0,0,,4e7af6f1e0f07040e9937209fe4f0f42c5166a9292fc51c3d290b9156bcbbf11
m6a_v3_formal_s1_seed630102,S1,630102,3,state_only_risk_roi,high,9,1,95,65,33538,33143,8271,0.2495549588148327,2520,3,0,0.0,,5.791402116402116,40.50296640370459,,,0,0,,e27195ec58df64255242affaaafbc74f6de751d452d445cbfb17cf7da2bf5152
m6a_v3_formal_s1_seed630102,S1,630102,3,command_conditioned_risk_roi,severe,11,1,35,5,31389,30981,7749,0.2501210419289242,2520,3,0,0.0,,174.6003968253968,25.710351344486213,,,0,0,,458ae6ea9c3371ab981d03c4f32555d2eb41f24ce1ec85764574ac8f5d7d75ab
m6a_v3_formal_s1_seed630102,S1,630102,3,command_conditioned_risk_roi,low,11,1,55,25,32136,31728,7940,0.25025214321734746,2520,3,0,0.0,,25.03095238095238,34.14602986852033,,,0,0,,bcf1cce4c4439f19f1ecfb7fe2d0b92b1a207bddb5eb24e36c1ff53ae75dddcb
m6a_v3_formal_s1_seed630102,S1,630102,3,command_conditioned_risk_roi,medium,11,1,75,45,32758,32350,8093,0.2501700154559505,2520,3,0,0.0,,15.475,36.23449703175755,,,0,0,,4e7af6f1e0f07040e9937209fe4f0f42c5166a9292fc51c3d290b9156bcbbf11
m6a_v3_formal_s1_seed630102,S1,630102,3,command_conditioned_risk_roi,high,11,1,95,65,33551,33143,8271,0.2495549588148327,2520,3,0,0.0,,5.791402116402116,40.50296640370459,,,0,0,,e27195ec58df64255242affaaafbc74f6de751d452d445cbfb17cf7da2bf5152
m6a_v3_formal_s1_seed630103,S1,630103,0,state_only_risk_roi,severe,9,1,35,5,31449,31054,0,0.0,0,0,0,,,,,,,0,0,,7efecd5b323a564cc004d6a31c01f7eed3ef6e166987cd7705a1b066b26699ae
m6a_v3_formal_s1_seed630103,S1,630103,0,state_only_risk_roi,low,9,1,55,25,32302,31907,0,0.0,0,0,0,,,,,,,0,0,,f38c0d9e1ad2af816160ea5b66ec8e160fe2467ab3b205a76552b1041abad298
m6a_v3_formal_s1_seed630103,S1,630103,0,state_only_risk_roi,medium,9,1,75,45,33024,32629,0,0.0,0,0,0,,,,,,,0,0,,7698d0fd7043d6b17e5641407ec4378008320ddbbcfc9a06f5d4b1b59183bede
