episode_id,scene,seed,method,budget,eligible_instances,recalled_instances,absolute_tcobr,mean_critical_region_psnr_db,mean_eligible_boundary_psnr_db,mean_critical_tile_payload_bytes,mean_critical_boundary_high_quality_coverage
m6a_v3_formal_s5_seed630501,S5,630501,command_conditioned_risk_roi,high,0,0,,40.23510556377178,,15806.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,command_conditioned_risk_roi,low,0,0,,37.3678719545075,,15702.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,command_conditioned_risk_roi,medium,0,0,,40.23510556377178,,15806.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,command_conditioned_risk_roi,severe,0,0,,28.50377765484712,,15453.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,state_only_risk_roi,high,0,0,,40.23510556377178,,15806.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,state_only_risk_roi,low,0,0,,37.3678719545075,,15702.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,state_only_risk_roi,medium,0,0,,40.23510556377178,,15806.0,0.0
m6a_v3_formal_s5_seed630501,S5,630501,state_only_risk_roi,severe,0,0,,28.50377765484712,,15453.0,0.0
m6a_v3_formal_s5_seed630502,S5,630502,command_conditioned_risk_roi,high,1,1,1.0,37.72852574977132,30.513195266724363,20590.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,command_conditioned_risk_roi,low,1,1,1.0,33.75147035747137,25.972288685586577,19843.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,command_conditioned_risk_roi,medium,1,1,1.0,37.72852574977132,30.513195266724363,20590.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,command_conditioned_risk_roi,severe,1,1,1.0,26.480271935504103,18.38597910104226,19426.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,state_only_risk_roi,high,1,1,1.0,37.72852574977132,30.513195266724363,20590.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,state_only_risk_roi,low,1,1,1.0,33.75147035747137,25.972288685586577,19843.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,state_only_risk_roi,medium,1,1,1.0,37.72852574977132,30.513195266724363,20590.0,0.14285714285714285
m6a_v3_formal_s5_seed630502,S5,630502,state_only_risk_roi,severe,1,1,1.0,26.480271935504103,18.38597910104226,19426.0,0.14285714285714285
m6a_v3_formal_s5_seed630503,S5,630503,command_conditioned_risk_roi,high,1,1,1.0,40.608129049269486,28.901209655390225,16107.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,command_conditioned_risk_roi,low,1,1,1.0,35.35957556434397,25.400563811896262,15770.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,command_conditioned_risk_roi,medium,1,1,1.0,40.608129049269486,28.901209655390225,16107.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,command_conditioned_risk_roi,severe,1,1,1.0,28.148074947606936,18.89287952078886,15506.0,0.0
m6a_v3_formal_s5_seed630503,S5,630503,state_only_risk_roi,high,1,1,1.0,40.608129049269486,28.901209655390225,16107.0,0.0
